NA	NA	17378	NA	36689	179	1891623	27513	68	25151	77	76	182	8894	126	9
NA	NA	18598	NA	41116	258	1899474	28546	88	22188	74	109	170	6696	84	4
NA	NA	19968	NA	35887	234	1892459	24392	62	26421	103	84	161	9470	106	17
NA	NA	17297	NA	40007	257	1892197	28066	106	24816	87	95	182	8171	106	6
NA	NA	19304	NA	42430	228	1897962	26713	64	21940	49	111	171	7873	95	5
NA	NA	19144	NA	39317	206	1896016	25841	72	23684	72	97	163	8762	99	13
NA	NA	18862	NA	35832	235	1896771	27408	91	22649	55	82	161	7447	101	5
NA	NA	19064	NA	34891	276	1891864	24572	91	28776	104	69	153	9872	128	21
NA	NA	21807	NA	35375	274	1896087	23682	80	25933	92	70	155	8537	113	6
NA	NA	18671	NA	38571	282	1894046	25795	120	26220	102	87	173	9095	121	12
NA	NA	18280	NA	35033	243	1886910	25260	101	29978	112	73	184	10015	157	12
NA	NA	18461	NA	37917	220	1898679	27873	101	22335	54	105	180	7634	101	8
NA	NA	19608	NA	34214	241	1895951	25491	73	25060	85	58	136	8663	103	11
NA	NA	18466	NA	33944	213	1885536	24414	73	30684	117	70	197	10781	142	25
NA	NA	17666	NA	38246	232	1894919	28137	105	24533	80	103	184	8172	112	8
NA	NA	17108	NA	40260	290	1891208	28162	117	26557	82	102	205	8342	110	10
NA	NA	17288	NA	36342	302	1886238	26170	113	31743	115	84	191	9951	182	14
NA	NA	19010	NA	34998	283	1890546	26096	106	28082	109	63	190	8695	112	11
NA	NA	19067	NA	34312	222	1894862	26075	90	24775	79	61	138	8687	106	10
NA	NA	19186	NA	38893	242	1896018	25721	78	24934	87	91	181	8797	100	10
NA	NA	18881	NA	40022	236	1894561	26244	69	23891	69	97	162	8860	112	10
NA	NA	17923	NA	38641	260	1892069	26997	100	25664	76	92	185	8695	122	6
NA	NA	17910	NA	42880	292	1894197	27432	94	24175	80	102	190	8209	103	7
NA	NA	16509	NA	38571	310	1885730	27308	115	31270	103	86	238	9445	173	15
NA	NA	19816	NA	36296	270	1895414	25621	87	25034	83	83	161	8210	99	8
NA	NA	18056	NA	38279	257	1895477	28022	100	25339	87	114	163	7602	100	10
NA	NA	21042	NA	36592	254	1898911	25186	78	22592	66	66	136	7735	81	6
NA	NA	17899	NA	38998	195	1890572	26072	85	25879	66	90	169	9786	143	24
NA	NA	18198	NA	41427	255	1894933	27147	106	24605	73	111	181	8262	104	13
NA	NA	17346	NA	38274	234	1888761	26581	119	26991	78	86	173	9571	143	9
NA	NA	20951	NA	33993	252	1895680	23286	68	26538	113	66	136	9462	113	12
NA	NA	18990	NA	38466	232	1895355	26414	87	24616	73	81	169	8267	101	10
NA	NA	20509	NA	34150	279	1891632	23517	70	28236	107	60	142	9551	119	18
NA	NA	17733	NA	37597	234	1890958	26661	97	26859	84	72	186	9513	131	18
NA	NA	17918	NA	40297	230	1894444	27905	81	23047	68	99	190	8017	78	14
NA	NA	19223	NA	37339	269	1891633	25224	106	28089	103	73	167	9377	128	13
NA	NA	18736	NA	37626	296	1891868	25337	84	27176	96	89	175	9550	120	16
NA	NA	17815	NA	39059	266	1885929	25282	88	30625	111	97	193	10459	157	31
NA	NA	19847	NA	36770	240	1897012	25874	85	23931	80	55	179	8215	87	8
NA	NA	16467	NA	39148	266	1888811	27593	111	27462	81	108	182	9155	145	13
NA	NA	17128	NA	35869	260	1881703	26084	119	32651	117	68	196	10175	190	22
NA	NA	16662	NA	39763	172	1896706	29830	83	21757	63	104	186	7508	89	8
NA	NA	18929	NA	36033	244	1891407	25767	70	26486	87	77	171	9198	128	10
NA	NA	18632	NA	38109	225	1898755	27826	89	22014	62	87	154	7280	76	3
NA	NA	17978	NA	36213	219	1893419	27305	79	24991	69	72	173	8771	113	9
NA	NA	18176	NA	38810	218	1892741	26253	90	25548	88	91	173	9322	125	10
NA	NA	18261	NA	37970	287	1887078	24592	68	29860	110	78	195	10456	157	25
NA	NA	19923	NA	38921	278	1891500	25028	87	29405	112	86	183	8808	131	16
NA	NA	18445	NA	38135	269	1886184	24972	92	29579	116	77	183	10180	148	20
NA	NA	18859	NA	35037	230	1892581	25567	94	26727	82	53	151	9349	125	16
NA	NA	20038	NA	39412	179	1904433	27974	68	18207	49	84	111	6016	62	3
NA	NA	18605	NA	35545	282	1891928	25787	108	26764	101	72	169	9165	118	12
NA	NA	19430	NA	37259	273	1895300	25749	80	25476	72	82	161	8805	123	11
NA	NA	17565	NA	35937	226	1888910	26661	101	27579	94	60	199	9401	119	15
NA	NA	17476	NA	37647	243	1890703	27502	113	26527	70	81	195	8895	146	17
NA	NA	18615	NA	38831	261	1896065	27083	75	24293	62	87	172	8001	106	16
NA	NA	20668	NA	35274	215	1893954	23775	93	27790	126	56	136	9338	113	11
NA	NA	16551	NA	38946	254	1886669	27161	95	29214	94	109	204	9708	148	22
NA	NA	16954	NA	41566	222	1894011	29218	98	24413	71	129	190	7667	89	9
NA	NA	19091	NA	37294	274	1890844	25704	96	27076	86	85	175	9170	143	18
NA	NA	20167	NA	36348	275	1895261	25333	76	25525	93	70	174	8078	95	5
NA	NA	19213	NA	36650	260	1892790	24761	111	26926	102	62	145	9534	108	20
NA	NA	18766	NA	37502	234	1901251	28437	85	19792	48	79	141	6613	73	4
NA	NA	19342	NA	38307	215	1895851	25481	79	24642	78	72	168	9083	104	15
NA	NA	16948	NA	40334	284	1889065	27582	132	28375	94	90	240	8909	129	14
NA	NA	20313	NA	34414	187	1902299	26871	77	20331	66	60	124	6921	66	9
NA	NA	19071	NA	39072	254	1892368	25926	87	25783	78	91	170	8614	114	12
NA	NA	18759	NA	37204	217	1892323	25942	82	24676	83	95	167	9136	103	16
NA	NA	19540	NA	38385	198	1899697	26503	75	22328	76	81	163	7712	95	13
NA	NA	16689	NA	40809	250	1891634	26898	88	25966	62	123	193	9822	134	18
NA	NA	18190	NA	37041	225	1888972	25426	103	27335	97	87	179	9901	126	16
NA	NA	17881	NA	37081	217	1890086	27807	113	26861	91	80	187	8274	126	4
NA	NA	20668	NA	35429	211	1898771	25331	76	23104	66	79	126	8154	93	15
NA	NA	16096	NA	39070	266	1883993	27603	113	30423	95	96	223	9938	168	18
NA	NA	18893	NA	38896	217	1894274	26458	72	23837	79	91	177	8481	99	12
NA	NA	19419	NA	36862	228	1897093	26147	74	23672	71	78	155	8126	87	9
NA	NA	18375	NA	40409	251	1899000	27940	92	22470	71	111	154	7716	99	12
NA	NA	20501	NA	35857	227	1898687	25411	66	22774	67	73	128	8043	100	8
NA	NA	20877	NA	35967	250	1897025	25492	94	24919	96	92	160	7514	85	5
NA	NA	18824	NA	37106	250	1891745	25123	82	27868	112	89	174	9861	151	17
NA	NA	17861	NA	39507	264	1894209	27587	105	25841	81	88	193	8341	120	8
NA	NA	19752	NA	38878	256	1900913	27305	67	20564	52	86	159	6960	79	4
NA	NA	18273	NA	35515	291	1887741	25954	114	30068	110	57	189	9356	139	20
NA	NA	19422	NA	37711	266	1889242	25005	70	28215	119	65	196	9580	129	11
NA	NA	17919	NA	38803	250	1891609	26348	95	26694	101	93	185	9353	124	8
NA	NA	18213	NA	42964	214	1898159	28890	82	19999	50	111	168	6927	61	5
NA	NA	19778	NA	35478	258	1892779	24224	74	26508	88	83	156	9683	116	21
