master_regulator 1	master_regulator_2	p-value	fdr	enrichment	Intersection Genes
AT1G06850	AT1G44830	0.00154848617767685	0.0018406533810121	12.5064935064935	AT2G06850,AT3G49220,AT5G57340
AT1G36060	AT4G31800	4.92326458701195e-07	6.59926955280325e-07	18.4306220095694	AT1G22330,AT1G53700,AT2G14890,AT2G45400,AT4G32890,AT5G12940
AT1G27730	AT4G31800	2.69668447169997e-30	2.42701602452997e-29	8.84936002625533	AT1G01620,AT1G04250,AT1G06080,AT1G08510,AT1G22910,AT1G44830,AT1G53180,AT1G70940,AT1G75780,AT2G06850,AT2G37640,AT2G38120,AT2G39180,AT2G40610,AT3G08030,AT3G08670,AT3G16850,AT3G19380,AT3G44610,AT3G49220,AT3G53250,AT4G23870,AT4G27260,AT4G34770,AT4G35720,AT5G02760,AT5G11890,AT5G12940,AT5G14690,AT5G22940,AT5G23210,AT5G25190,AT5G49170,AT5G50335,AT5G51670,AT5G53980,AT5G54510,AT5G57340,AT5G59010,AT5G60840,AT5G64330,AT5G67060
AT1G27730	AT5G67060	2.76692217022377e-23	1.2451149766007e-22	9.24572457245725	AT1G01620,AT1G06080,AT1G08510,AT1G53180,AT1G70940,AT2G06850,AT2G38120,AT2G40610,AT2G41760,AT2G42900,AT3G08030,AT3G08670,AT3G16850,AT3G19380,AT3G44610,AT3G49220,AT4G23820,AT4G23870,AT4G27260,AT4G34770,AT4G35720,AT5G02760,AT5G14690,AT5G22940,AT5G23210,AT5G25190,AT5G50335,AT5G51670,AT5G54510,AT5G57240,AT5G57340,AT5G64330
AT1G27730	AT5G60850	1.9285491480154e-19	5.7856474440462e-19	8.13723776223776	AT1G01620,AT1G04250,AT1G04610,AT1G08510,AT1G22910,AT1G27670,AT1G44830,AT1G53180,AT1G70940,AT2G06850,AT2G38120,AT3G08030,AT3G08670,AT3G19380,AT3G44610,AT3G49220,AT4G23870,AT4G27260,AT4G34770,AT4G35720,AT4G37890,AT5G22940,AT5G25190,AT5G49170,AT5G51670,AT5G54510,AT5G57240,AT5G59010,AT5G64330
AT2G01570	AT5G47370	0.187458823675467	0.19683176485924	4.86363636363636	AT1G70940
AT5G47370	AT5G66700	6.56126914960419e-23	2.58349972765665e-22	10.0626959247649	AT1G04250,AT1G04610,AT1G23030,AT1G27670,AT1G35430,AT1G53700,AT1G70940,AT1G75590,AT1G75780,AT1G79700,AT2G06850,AT2G14890,AT2G38120,AT2G42380,AT3G02170,AT3G06770,AT3G08030,AT3G16850,AT3G19380,AT3G60550,AT4G14550,AT4G20870,AT4G22190,AT4G27260,AT4G28720,AT4G30410,AT4G38860,AT5G12940,AT5G23210,AT5G57340
AT2G01570	AT2G22430	0.0773371708038861	0.0854779256253478	4.32323232323232	AT1G70940,AT5G47370
AT2G22430	AT5G66700	1.42278514246492e-26	9.95949599725444e-26	9.37987012987013	AT1G01620,AT1G04250,AT1G22330,AT1G23030,AT1G27670,AT1G35430,AT1G36940,AT1G53700,AT1G64640,AT1G70940,AT1G75780,AT2G14890,AT2G17880,AT2G37640,AT2G38120,AT2G42380,AT2G45400,AT3G08030,AT3G19380,AT3G44610,AT3G50340,AT3G58120,AT3G60550,AT4G14550,AT4G27260,AT4G28720,AT4G30410,AT4G37890,AT4G38860,AT5G23210,AT5G25190,AT5G47370,AT5G49800,AT5G51670,AT5G54510,AT5G66590
AT1G01720	AT2G22430	6.2079086780833e-27	4.8887280839906e-26	9.59402241594023	AT1G04250,AT1G08510,AT1G22910,AT1G23030,AT1G27670,AT1G53700,AT1G62770,AT1G64640,AT1G76240,AT2G37640,AT2G38120,AT2G40610,AT2G42900,AT2G45400,AT3G05490,AT3G08030,AT3G08670,AT3G13720,AT3G44610,AT3G49220,AT3G58120,AT4G14550,AT4G28720,AT4G34770,AT4G37890,AT4G38860,AT5G14690,AT5G22940,AT5G23210,AT5G25190,AT5G47370,AT5G49800,AT5G51670,AT5G54510,AT5G64330,AT5G66080
AT2G22430	AT5G60850	4.38578726542677e-23	1.84203065147924e-22	8.23387400980762	AT1G01620,AT1G04250,AT1G08510,AT1G22910,AT1G27670,AT1G36940,AT1G44830,AT1G53180,AT1G70940,AT2G17880,AT2G38120,AT3G05490,AT3G08030,AT3G08670,AT3G19380,AT3G44610,AT3G49220,AT3G60550,AT4G12730,AT4G14550,AT4G27260,AT4G28720,AT4G30410,AT4G34770,AT4G35720,AT4G37890,AT4G38860,AT5G22940,AT5G25190,AT5G49170,AT5G49800,AT5G51670,AT5G54510,AT5G64330
AT2G22430	AT5G67060	2.69411655679691e-36	4.24323357695513e-35	8.9649472784269	AT1G01620,AT1G06980,AT1G08510,AT1G22330,AT1G23030,AT1G35430,AT1G53180,AT1G53700,AT1G70940,AT1G73830,AT2G14890,AT2G27050,AT2G38120,AT2G40610,AT2G42380,AT2G42900,AT3G05490,AT3G08030,AT3G08670,AT3G13720,AT3G19380,AT3G44610,AT3G49220,AT3G50340,AT3G58120,AT4G12730,AT4G14550,AT4G23820,AT4G25260,AT4G27260,AT4G28720,AT4G30290,AT4G30410,AT4G34770,AT4G35720,AT4G38860,AT5G02760,AT5G11420,AT5G14690,AT5G22940,AT5G23210,AT5G25190,AT5G47370,AT5G51670,AT5G54510,AT5G57760,AT5G64330,AT5G66080,AT5G66590
AT2G22430	AT4G31800	1.97815725632371e-44	4.15413023827979e-43	8.41783216783217	AT1G01620,AT1G04250,AT1G06980,AT1G08510,AT1G22330,AT1G22910,AT1G23030,AT1G35430,AT1G36940,AT1G44830,AT1G53180,AT1G53700,AT1G70940,AT1G73830,AT1G75780,AT2G14890,AT2G17880,AT2G18010,AT2G27050,AT2G37640,AT2G38120,AT2G39180,AT2G40610,AT2G42380,AT2G45400,AT3G05490,AT3G08030,AT3G08670,AT3G13720,AT3G19380,AT3G44610,AT3G49220,AT3G50340,AT3G58120,AT3G60550,AT4G12730,AT4G14550,AT4G25260,AT4G27260,AT4G28720,AT4G30290,AT4G30410,AT4G34770,AT4G35720,AT4G38860,AT5G02760,AT5G11420,AT5G14690,AT5G22940,AT5G23210,AT5G25190,AT5G47370,AT5G49170,AT5G51670,AT5G53980,AT5G54510,AT5G60840,AT5G64330,AT5G66590,AT5G67060
AT2G22430	AT5G25190	8.50526875834497e-15	1.91368547062762e-14	11.2961876832845	AT1G27670,AT1G53700,AT2G37640,AT2G38120,AT2G45400,AT3G05490,AT3G08030,AT3G19380,AT3G44610,AT3G49220,AT3G50340,AT3G58120,AT4G12730,AT5G14690,AT5G23210,AT5G54510,AT5G60840,AT5G67060
AT2G01570	AT4G31800	0.0875310931127153	0.0950768770017425	4.02507836990596	AT1G70940,AT5G47370
AT5G60850	AT5G66700	3.51940519554134e-26	2.21722527319104e-25	11.3190082644628	AT1G01620,AT1G04250,AT1G04610,AT1G27670,AT1G36940,AT1G70940,AT1G75590,AT1G79700,AT2G06850,AT2G17880,AT2G38120,AT3G02170,AT3G06770,AT3G08030,AT3G19380,AT3G44610,AT3G60550,AT4G14550,AT4G20870,AT4G22190,AT4G23870,AT4G27260,AT4G28720,AT4G30410,AT4G37890,AT4G38860,AT5G02550,AT5G25190,AT5G49800,AT5G51670,AT5G54510,AT5G59010
AT1G69490	AT5G60850	6.42078619477663e-14	1.34836510090309e-13	11.1481103166496	AT1G08510,AT1G44830,AT1G75590,AT3G06770,AT3G08030,AT3G08670,AT3G49220,AT3G61460,AT4G14550,AT4G28720,AT4G32890,AT4G38860,AT5G22940,AT5G25190,AT5G51670,AT5G57240,AT5G64330
AT5G25190	AT5G60850	3.07030707759836e-14	6.66997744443782e-14	14.5909090909091	AT1G27670,AT1G75590,AT1G79700,AT2G38120,AT3G05490,AT3G06770,AT3G08030,AT3G19380,AT3G44610,AT3G49220,AT3G61460,AT4G12730,AT4G23870,AT4G32890,AT5G54510
AT5G05410	AT5G60850	0.0015785832131485	0.00184168041533992	7.78181818181818	AT1G53180,AT2G38120,AT3G05490,AT3G49220
AT4G31800	AT5G05410	0.000470113140706718	0.000569560151240831	5.93528505392912	AT1G23030,AT1G53180,AT2G38120,AT3G05490,AT3G49220,AT5G53980
AT1G77450	AT4G31800	3.90471031656932e-10	5.99992073033822e-10	6.14354066985646	AT1G53180,AT1G79700,AT2G18010,AT2G38120,AT2G45400,AT3G05490,AT3G08670,AT3G16850,AT3G44610,AT3G49220,AT4G23870,AT4G27260,AT4G28720,AT5G23210,AT5G51670,AT5G53980,AT5G57340,AT5G66590
AT4G31800	AT5G67060	1.13147246419301e-47	3.56413826220798e-46	9.83844155844156	AT1G01620,AT1G06080,AT1G06980,AT1G08510,AT1G22330,AT1G23030,AT1G35430,AT1G53180,AT1G53700,AT1G70940,AT1G73830,AT1G75590,AT1G79700,AT2G06850,AT2G14890,AT2G27050,AT2G38120,AT2G40610,AT2G42380,AT3G02170,AT3G05490,AT3G06770,AT3G08030,AT3G08670,AT3G13720,AT3G16850,AT3G19380,AT3G44610,AT3G49220,AT3G50340,AT3G58120,AT3G61460,AT4G12730,AT4G14550,AT4G20870,AT4G22190,AT4G23870,AT4G25260,AT4G27260,AT4G28720,AT4G30290,AT4G30410,AT4G32890,AT4G34770,AT4G35720,AT4G38860,AT5G02760,AT5G11420,AT5G14690,AT5G22940,AT5G23210,AT5G25190,AT5G47370,AT5G50335,AT5G51670,AT5G54510,AT5G57340,AT5G64330,AT5G66590
AT1G77450	AT5G05410	0.00298062230312911	0.00341416736540244	5.03134796238245	AT1G53180,AT2G38120,AT3G05490,AT3G49220,AT5G53980
AT1G01720	AT5G05410	0.00382956824513786	0.00430826427578009	6.14354066985646	AT1G23030,AT2G38120,AT3G05490,AT3G49220
AT1G22640	AT1G77450	0.179765190979516	0.191952661554398	2.59393939393939	AT1G53180,AT4G27260
AT1G77450	AT4G34000	1	1	0	
AT1G01720	AT1G22640	1	1	0	
AT1G01720	AT5G25190	1.6430066440862e-16	4.14037674309722e-16	15.5028409090909	AT1G27670,AT1G53700,AT2G37640,AT2G38120,AT2G45400,AT3G05490,AT3G06770,AT3G08030,AT3G44610,AT3G49220,AT3G58120,AT3G61460,AT4G32890,AT5G11890,AT5G14690,AT5G23210,AT5G54510
AT1G09530	AT5G67060	3.49769254425197e-06	4.40709260575748e-06	19.4545454545455	AT1G06850,AT1G53180,AT3G58120,AT4G28720,AT5G25190
AT5G25190	AT5G67060	1.79151829471516e-17	5.13025693486614e-17	14.0368239355581	AT1G53700,AT1G75590,AT1G79700,AT2G38120,AT3G05490,AT3G06770,AT3G08030,AT3G19380,AT3G44610,AT3G49220,AT3G50340,AT3G58120,AT3G61460,AT4G12730,AT4G23870,AT4G32890,AT5G14690,AT5G23210,AT5G54510
